1||EF|8000|
2||MAT|7000|
3||EF|8000|
4||MO|7000|
5||MO|3000|
6||EF|8000|
7||MO|4000|
8||MO|4000|
9||EF|7000|
10||EF|6000|
11||EF|6000|
12||EF|5000|
13||EF|1000|
14||EF|5000|
15||EF|7000|
16||MAT|4000|
17||MAT|9000|
18||MO|8000|
19||EF|6000|
20||MO|4000|
21||EF|6000|
22||MO|5000|
23||MAT|7000|
24||EF|8000|
25||EF|3000|
26||MO|2000|
27||MAT|6000|
28||EF|8000|
29||MAT|6000|
30||MO|7000|
31||EF|2000|
32||MO|2000|
33||MO|6000|
34||MAT|4000|
35||MO|7000|
36||MAT|5000|
37||MAT|7000|
38||EF|9000|
39||MAT|2000|
40||MO|7000|
41||EF|2000|
